R,C,A,N,Total,T,seed,Tseq_mean,Tseq_std,Tpar_mean,Tpar_std,Speedup,Eficiencia
120,120,120,120,207360000,1,11,0.194667,0.000719,0.174251,0.001105,1.117164,1.117164
120,120,120,120,207360000,2,11,0.194667,0.000719,0.110243,0.000700,1.765799,0.882900
120,120,120,120,207360000,3,11,0.194667,0.000719,0.097449,0.000513,1.997630,0.665877
120,120,120,120,207360000,4,11,0.194667,0.000719,0.093426,0.003473,2.083649,0.520912
120,120,120,120,207360000,5,11,0.194667,0.000719,0.095731,0.000487,2.033479,0.406696
120,120,120,120,207360000,6,11,0.194667,0.000719,0.093119,0.000791,2.090519,0.348420
120,120,120,120,207360000,7,11,0.194667,0.000719,0.091599,0.000437,2.125209,0.303601
120,120,120,120,207360000,8,11,0.194667,0.000719,0.091734,0.001189,2.122081,0.265260
120,120,120,120,207360000,9,11,0.194667,0.000719,0.095581,0.000597,2.036670,0.226297
120,120,120,120,207360000,10,11,0.194667,0.000719,0.093909,0.000470,2.072932,0.207293
140,140,140,140,384160000,1,11,0.348212,0.001028,0.300340,0.000785,1.159393,1.159393
140,140,140,140,384160000,2,11,0.348212,0.001028,0.196597,0.002278,1.771197,0.885598
140,140,140,140,384160000,3,11,0.348212,0.001028,0.175017,0.000695,1.989590,0.663197
140,140,140,140,384160000,4,11,0.348212,0.001028,0.167219,0.002990,2.082371,0.520593
140,140,140,140,384160000,5,11,0.348212,0.001028,0.173256,0.001876,2.009812,0.401962
140,140,140,140,384160000,6,11,0.348212,0.001028,0.168325,0.000915,2.068689,0.344781
140,140,140,140,384160000,7,11,0.348212,0.001028,0.166423,0.001504,2.092331,0.298904
140,140,140,140,384160000,8,11,0.348212,0.001028,0.169909,0.008617,2.049403,0.256175
140,140,140,140,384160000,9,11,0.348212,0.001028,0.171280,0.001556,2.032999,0.225889
140,140,140,140,384160000,10,11,0.348212,0.001028,0.169707,0.001436,2.051842,0.205184
160,160,160,160,655360000,1,11,0.584794,0.003837,0.485184,0.002962,1.205304,1.205304
160,160,160,160,655360000,2,11,0.584794,0.003837,0.320719,0.002129,1.823384,0.911692
160,160,160,160,655360000,3,11,0.584794,0.003837,0.288784,0.001869,2.025022,0.675007
160,160,160,160,655360000,4,11,0.584794,0.003837,0.274817,0.001340,2.127940,0.531985
160,160,160,160,655360000,5,11,0.584794,0.003837,0.284328,0.000809,2.056758,0.411352
160,160,160,160,655360000,6,11,0.584794,0.003837,0.277368,0.001157,2.108369,0.351395
160,160,160,160,655360000,7,11,0.584794,0.003837,0.274746,0.000935,2.128490,0.304070
160,160,160,160,655360000,8,11,0.584794,0.003837,0.272961,0.001842,2.142409,0.267801
160,160,160,160,655360000,9,11,0.584794,0.003837,0.283146,0.002248,2.065344,0.229483
160,160,160,160,655360000,10,11,0.584794,0.003837,0.281236,0.002912,2.079371,0.207937
170,170,170,170,835210000,1,11,0.733981,0.003465,0.602808,0.002105,1.217603,1.217603
170,170,170,170,835210000,2,11,0.733981,0.003465,0.407016,0.008328,1.803322,0.901661
170,170,170,170,835210000,3,11,0.733981,0.003465,0.368282,0.003023,1.992986,0.664329
170,170,170,170,835210000,4,11,0.733981,0.003465,0.354646,0.006571,2.069616,0.517404
170,170,170,170,835210000,5,11,0.733981,0.003465,0.364147,0.001043,2.015617,0.403123
170,170,170,170,835210000,6,11,0.733981,0.003465,0.355821,0.001074,2.062782,0.343797
170,170,170,170,835210000,7,11,0.733981,0.003465,0.354523,0.003034,2.070334,0.295762
170,170,170,170,835210000,8,11,0.733981,0.003465,0.352518,0.003700,2.082109,0.260264
170,170,170,170,835210000,9,11,0.733981,0.003465,0.362742,0.001942,2.023424,0.224825
170,170,170,170,835210000,10,11,0.733981,0.003465,0.358588,0.001013,2.046864,0.204686
180,180,180,180,1049760000,1,11,0.914220,0.003009,0.742547,0.005950,1.231195,1.231195
180,180,180,180,1049760000,2,11,0.914220,0.003009,0.501166,0.001803,1.824186,0.912093
180,180,180,180,1049760000,3,11,0.914220,0.003009,0.457934,0.002401,1.996401,0.665467
180,180,180,180,1049760000,4,11,0.914220,0.003009,0.441002,0.003452,2.073052,0.518263
180,180,180,180,1049760000,5,11,0.914220,0.003009,0.455231,0.003992,2.008255,0.401651
180,180,180,180,1049760000,6,11,0.914220,0.003009,0.446381,0.003472,2.048071,0.341345
180,180,180,180,1049760000,7,11,0.914220,0.003009,0.442658,0.004205,2.065296,0.295042
180,180,180,180,1049760000,8,11,0.914220,0.003009,0.440909,0.006301,2.073489,0.259186
180,180,180,180,1049760000,9,11,0.914220,0.003009,0.454594,0.006513,2.011069,0.223452
180,180,180,180,1049760000,10,11,0.914220,0.003009,0.448208,0.001747,2.039723,0.203972
190,190,190,190,1303210000,1,11,1.133295,0.003598,0.906341,0.001715,1.250407,1.250407
190,190,190,190,1303210000,2,11,1.133295,0.003598,0.622466,0.003913,1.820654,0.910327
190,190,190,190,1303210000,3,11,1.133295,0.003598,0.568859,0.001211,1.992225,0.664075
190,190,190,190,1303210000,4,11,1.133295,0.003598,0.548532,0.004317,2.066051,0.516513
190,190,190,190,1303210000,5,11,1.133295,0.003598,0.566102,0.003612,2.001927,0.400385
190,190,190,190,1303210000,6,11,1.133295,0.003598,0.554839,0.004121,2.042566,0.340428
190,190,190,190,1303210000,7,11,1.133295,0.003598,0.550302,0.002773,2.059406,0.294201
190,190,190,190,1303210000,8,11,1.133295,0.003598,0.546222,0.000970,2.074788,0.259349
190,190,190,190,1303210000,9,11,1.133295,0.003598,0.564371,0.004055,2.008067,0.223119
190,190,190,190,1303210000,10,11,1.133295,0.003598,0.560825,0.003995,2.020764,0.202076
200,200,200,200,1600000000,1,11,1.366118,0.002575,1.075516,0.006395,1.270198,1.270198
200,200,200,200,1600000000,2,11,1.366118,0.002575,0.737582,0.005521,1.852157,0.926079
200,200,200,200,1600000000,3,11,1.366118,0.002575,0.677654,0.004897,2.015952,0.671984
200,200,200,200,1600000000,4,11,1.366118,0.002575,0.649494,0.004699,2.103357,0.525839
200,200,200,200,1600000000,5,11,1.366118,0.002575,0.670989,0.003180,2.035977,0.407195
200,200,200,200,1600000000,6,11,1.366118,0.002575,0.655488,0.004060,2.084124,0.347354
200,200,200,200,1600000000,7,11,1.366118,0.002575,0.653775,0.006930,2.089584,0.298512
200,200,200,200,1600000000,8,11,1.366118,0.002575,0.650476,0.004852,2.100182,0.262523
200,200,200,200,1600000000,9,11,1.366118,0.002575,0.668422,0.005151,2.043796,0.227088
200,200,200,200,1600000000,10,11,1.366118,0.002575,0.664007,0.003017,2.057385,0.205738
100,100,100,100,100000000,1,21,0.102429,0.000445,0.095147,0.000239,1.076534,1.076534
100,100,100,100,100000000,2,21,0.102429,0.000445,0.060031,0.000510,1.706268,0.853134
100,100,100,100,100000000,3,21,0.102429,0.000445,0.053116,0.002652,1.928402,0.642801
100,100,100,100,100000000,4,21,0.102429,0.000445,0.049183,0.000352,2.082610,0.520652
100,100,100,100,100000000,5,21,0.102429,0.000445,0.050754,0.000654,2.018146,0.403629
100,100,100,100,100000000,6,21,0.102429,0.000445,0.049273,0.000399,2.078806,0.346468
100,100,100,100,100000000,7,21,0.102429,0.000445,0.048536,0.000360,2.110372,0.301482
100,100,100,100,100000000,8,21,0.102429,0.000445,0.048363,0.000466,2.117921,0.264740
100,100,100,100,100000000,9,21,0.102429,0.000445,0.051267,0.000730,1.997952,0.221995
100,100,100,100,100000000,10,21,0.102429,0.000445,0.050475,0.000429,2.029302,0.202930
300,100,100,100,300000000,1,21,0.303189,0.000964,0.281723,0.000814,1.076195,1.076195
300,100,100,100,300000000,2,21,0.303189,0.000964,0.175687,0.001094,1.725734,0.862867
300,100,100,100,300000000,3,21,0.303189,0.000964,0.153608,0.000770,1.973784,0.657928
300,100,100,100,300000000,4,21,0.303189,0.000964,0.149149,0.008449,2.032793,0.508198
300,100,100,100,300000000,5,21,0.303189,0.000964,0.149757,0.001072,2.024540,0.404908
300,100,100,100,300000000,6,21,0.303189,0.000964,0.144491,0.000421,2.098324,0.349721
300,100,100,100,300000000,7,21,0.303189,0.000964,0.142358,0.000456,2.129764,0.304252
300,100,100,100,300000000,8,21,0.303189,0.000964,0.141433,0.001442,2.143693,0.267962
300,100,100,100,300000000,9,21,0.303189,0.000964,0.149991,0.003408,2.021381,0.224598
300,100,100,100,300000000,10,21,0.303189,0.000964,0.145800,0.001361,2.079486,0.207949
500,100,100,100,500000000,1,21,0.502864,0.004115,0.467877,0.004865,1.074778,1.074778
500,100,100,100,500000000,2,21,0.502864,0.004115,0.287490,0.001183,1.749153,0.874577
500,100,100,100,500000000,3,21,0.502864,0.004115,0.250828,0.001114,2.004816,0.668272
500,100,100,100,500000000,4,21,0.502864,0.004115,0.236544,0.002161,2.125879,0.531470
500,100,100,100,500000000,5,21,0.502864,0.004115,0.244478,0.000708,2.056889,0.411378
500,100,100,100,500000000,6,21,0.502864,0.004115,0.236838,0.001448,2.123240,0.353873
500,100,100,100,500000000,7,21,0.502864,0.004115,0.232803,0.001018,2.160041,0.308577
500,100,100,100,500000000,8,21,0.502864,0.004115,0.230449,0.001975,2.182105,0.272763
500,100,100,100,500000000,9,21,0.502864,0.004115,0.243769,0.001976,2.062871,0.229208
500,100,100,100,500000000,10,21,0.502864,0.004115,0.239552,0.001243,2.099185,0.209919
700,100,100,100,700000000,1,21,0.703845,0.003306,0.655338,0.005261,1.074018,1.074018
700,100,100,100,700000000,2,21,0.703845,0.003306,0.405468,0.003065,1.735883,0.867941
700,100,100,100,700000000,3,21,0.703845,0.003306,0.355723,0.005577,1.978632,0.659544
700,100,100,100,700000000,4,21,0.703845,0.003306,0.335232,0.005966,2.099576,0.524894
700,100,100,100,700000000,5,21,0.703845,0.003306,0.344235,0.002873,2.044664,0.408933
700,100,100,100,700000000,6,21,0.703845,0.003306,0.333523,0.002216,2.110334,0.351722
700,100,100,100,700000000,7,21,0.703845,0.003306,0.328846,0.003288,2.140348,0.305764
700,100,100,100,700000000,8,21,0.703845,0.003306,0.325252,0.003310,2.163999,0.270500
700,100,100,100,700000000,9,21,0.703845,0.003306,0.341632,0.001958,2.060243,0.228916
700,100,100,100,700000000,10,21,0.703845,0.003306,0.337636,0.005026,2.084627,0.208463
900,100,100,100,900000000,1,21,0.898500,0.002363,0.835154,0.002456,1.075849,1.075849
900,100,100,100,900000000,2,21,0.898500,0.002363,0.515689,0.002948,1.742329,0.871165
900,100,100,100,900000000,3,21,0.898500,0.002363,0.448078,0.002514,2.005231,0.668410
900,100,100,100,900000000,4,21,0.898500,0.002363,0.421714,0.001197,2.130591,0.532648
900,100,100,100,900000000,5,21,0.898500,0.002363,0.436576,0.001444,2.058061,0.411612
900,100,100,100,900000000,6,21,0.898500,0.002363,0.423196,0.003644,2.123130,0.353855
900,100,100,100,900000000,7,21,0.898500,0.002363,0.417796,0.003790,2.150571,0.307224
900,100,100,100,900000000,8,21,0.898500,0.002363,0.413882,0.003753,2.170909,0.271364
900,100,100,100,900000000,9,21,0.898500,0.002363,0.431145,0.002209,2.083986,0.231554
900,100,100,100,900000000,10,21,0.898500,0.002363,0.426275,0.002029,2.107794,0.210779
